Year,Sector,Fuel,ktoe
2008,Transport,NatGas,1.27
2009,Transport,NatGas,1.29
2010,Transport,NatGas,2.1
2011,Transport,NatGas,3.63
2012,Transport,NatGas,4.14
2013,Transport,NatGas,3.45
2014,Transport,NatGas,2.85
2015,Transport,NatGas,3.92
2016,Transport,NatGas,21.29
2017,Transport,NatGas,20.23
1990,Residential,NatGas,117
1991,Residential,NatGas,161
1992,Residential,NatGas,187
1993,Residential,NatGas,217
1994,Residential,NatGas,239
1995,Residential,NatGas,252
1996,Residential,NatGas,303
1997,Residential,NatGas,286
1998,Residential,NatGas,339
1999,Residential,NatGas,387
2000,Residential,NatGas,439
2001,Residential,NatGas,482
2002,Residential,NatGas,476
2003,Residential,NatGas,539
2004,Residential,NatGas,601
2005,Residential,NatGas,607
2006,Residential,NatGas,632
2007,Residential,NatGas,593
2008,Residential,NatGas,669
2009,Residential,NatGas,625
2010,Residential,NatGas,710
2011,Residential,NatGas,569
2012,Residential,NatGas,600
2013,Residential,NatGas,606
2014,Residential,NatGas,536
2015,Residential,NatGas,555
2016,Residential,NatGas,563
2017,Residential,NatGas,555
1990,Industry,NatGas,358
1991,Industry,NatGas,377
1992,Industry,NatGas,349
1993,Industry,NatGas,389
1994,Industry,NatGas,360
1995,Industry,NatGas,369
1996,Industry,NatGas,373
1997,Industry,NatGas,380
1998,Industry,NatGas,401
1999,Industry,NatGas,405
2000,Industry,NatGas,471
2001,Industry,NatGas,441
2002,Industry,NatGas,432
2003,Industry,NatGas,437
2004,Industry,NatGas,477
2005,Industry,NatGas,462
2006,Industry,NatGas,527
2007,Industry,NatGas,508
2008,Industry,NatGas,504
2009,Industry,NatGas,420
2010,Industry,NatGas,437
2011,Industry,NatGas,566
2012,Industry,NatGas,619
2013,Industry,NatGas,614
2014,Industry,NatGas,679
2015,Industry,NatGas,729
2016,Industry,NatGas,755
2017,Industry,NatGas,764
1990,Services,NatGas,94
1991,Services,NatGas,113
1992,Services,NatGas,133
1993,Services,NatGas,158
1994,Services,NatGas,174
1995,Services,NatGas,177
1996,Services,NatGas,196
1997,Services,NatGas,207
1998,Services,NatGas,226
1999,Services,NatGas,246
2000,Services,NatGas,293
2001,Services,NatGas,314
2002,Services,NatGas,291
2003,Services,NatGas,303
2004,Services,NatGas,275
2005,Services,NatGas,299
2006,Services,NatGas,308
2007,Services,NatGas,350
2008,Services,NatGas,384
2009,Services,NatGas,413
2010,Services,NatGas,440
2011,Services,NatGas,366
2012,Services,NatGas,401
2013,Services,NatGas,407
2014,Services,NatGas,401
2015,Services,NatGas,432
2016,Services,NatGas,455
2017,Services,NatGas,484
1990,Agri & Fisheries,NatGas,0
1991,Agri & Fisheries,NatGas,0
1992,Agri & Fisheries,NatGas,0
1993,Agri & Fisheries,NatGas,0
1994,Agri & Fisheries,NatGas,0
1995,Agri & Fisheries,NatGas,0
1996,Agri & Fisheries,NatGas,0
1997,Agri & Fisheries,NatGas,0
1998,Agri & Fisheries,NatGas,0
1999,Agri & Fisheries,NatGas,0
2000,Agri & Fisheries,NatGas,0
2001,Agri & Fisheries,NatGas,0
2002,Agri & Fisheries,NatGas,0
2003,Agri & Fisheries,NatGas,0
2004,Agri & Fisheries,NatGas,0
2005,Agri & Fisheries,NatGas,0
2006,Agri & Fisheries,NatGas,0
2007,Agri & Fisheries,NatGas,0
2008,Agri & Fisheries,NatGas,0
2009,Agri & Fisheries,NatGas,0
2010,Agri & Fisheries,NatGas,0
2011,Agri & Fisheries,NatGas,0
2012,Agri & Fisheries,NatGas,0
2013,Agri & Fisheries,NatGas,0
2014,Agri & Fisheries,NatGas,0
2015,Agri & Fisheries,NatGas,0
2016,Agri & Fisheries,NatGas,0
2017,Agri & Fisheries,NatGas,0
1990,Transport,Renewable,0
1991,Transport,Renewable,0
1992,Transport,Renewable,0
1993,Transport,Renewable,0
1994,Transport,Renewable,0
